Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2023-09-21T11:32:33Z,http://contribute.freecodecamp.org/,387451,374074,33599,248,374074,TypeScript,BSD-3-Clause,"['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",True,True,True,False,True,False,False,False,False,main
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2023-09-21T11:09:25Z,https://ebookfoundation.github.io/free-programming-books/,17087,298393,57194,46,298393,,CC-BY-4.0,"['books', 'education', 'hacktoberfest', 'list', 'resource']",True,False,True,False,True,False,False,False,False,main
awesome,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,2023-09-21T11:18:22Z,,1441,269997,26485,61,269997,,CC0-1.0,"['awesome', 'awesome-list', 'lists', 'resources', 'unicorns']",True,False,True,False,True,False,False,False,False,main
996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,2023-09-21T08:09:01Z,https://996.icu,187799,267901,21497,16712,267901,,NOASSERTION,[],False,False,True,False,False,False,False,True,False,master
coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,2023-09-21T10:54:48Z,,20998,265161,69434,56,265161,,CC-BY-SA-4.0,"['algorithm', 'algorithms', 'coding-interview', 'coding-interviews', 'computer-science', 'data-structures', 'interview', 'interview-prep', 'interview-preparation', 'programming-interviews', 'software-engineering', 'study-plan']",True,False,True,False,False,False,False,False,False,main
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2023-09-21T11:22:06Z,http://public-apis.org,5088,256615,29254,191,256615,Python,MIT,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",True,False,True,False,False,False,False,False,False,master
developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2023-09-21T11:32:17Z,https://roadmap.sh,2267461,251416,34927,643,251416,TypeScript,NOASSERTION,"['angular-roadmap', 'backend-roadmap', 'blockchain-roadmap', 'computer-science', 'dba-roadmap', 'developer-roadmap', 'devops-roadmap', 'frontend-roadmap', 'go-roadmap', 'java-roadmap', 'javascript-roadmap', 'nodejs-roadmap', 'python-roadmap', 'qa-roadmap', 'react-roadmap', 'roadmap', 'software-architect-roadmap', 'vue-roadmap']",True,False,True,True,True,False,False,False,False,master
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2023-09-21T11:32:17Z,,11187,229569,40474,393,229569,Python,NOASSERTION,"['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",True,True,True,True,False,False,False,False,False,master
build-your-own-x,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2023-09-21T11:23:44Z,https://codecrafters.io,974,217627,21159,282,217627,,,"['awesome-list', 'free', 'programming', 'tutorial-code', 'tutorial-exercises', 'tutorials']",True,False,True,False,False,False,False,False,False,master
react,The library for web and native user interfaces,https://github.com/facebook/react,2013-05-24T16:15:54Z,2023-09-21T11:37:15Z,https://react.dev,345964,213299,44842,1497,213299,JavaScript,MIT,"['declarative', 'frontend', 'javascript', 'library', 'react', 'ui']",True,True,True,True,True,False,False,False,False,main
vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,2013-07-29T03:24:51Z,2023-09-21T11:03:56Z,http://v2.vuejs.org,31925,205326,34385,649,205326,TypeScript,MIT,"['framework', 'frontend', 'javascript', 'vue']",True,True,True,True,False,False,False,False,False,main
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2023-09-21T11:40:38Z,https://awesome-python.com/,6696,181326,23837,383,181326,Python,NOASSERTION,"['awesome', 'collections', 'python', 'python-framework', 'python-library', 'python-resources']",False,False,True,False,True,False,False,False,False,master
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,2023-09-21T11:18:14Z,https://tensorflow.org,892377,177727,88940,2066,177727,C++,Apache-2.0,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",True,True,True,False,False,False,False,False,False,master
javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2023-09-21T11:30:39Z,,13363,175401,28811,338,175401,JavaScript,MIT,"['algorithm', 'algorithms', 'computer-science', 'data-structures', 'interview', 'interview-preparation', 'javascript', 'javascript-algorithms']",True,False,True,False,False,False,False,False,False,master
You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2023-09-21T11:36:45Z,,12645,171274,33018,127,171274,,NOASSERTION,"['async', 'book', 'book-series', 'closures', 'education', 'es2015', 'es6', 'javascript', 'learn-to-code', 'programming', 'prototypes', 'training-materials', 'training-providers']",True,True,True,False,False,False,False,False,False,2nd-ed
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2023-09-21T11:35:46Z,https://the-algorithms.com/,13858,169000,41926,118,169000,Python,MIT,"['algorithm', 'algorithm-competitions', 'algorithms-implemented', 'algos', 'community-driven', 'education', 'hacktoberfest', 'interview', 'learn', 'practice', 'python', 'searches', 'sorting-algorithms', 'sorts']",True,True,True,True,False,True,False,False,False,master
CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,2023-09-21T11:18:15Z,http://www.cyc2018.xyz,116179,167116,50543,187,167116,,,"['algorithm', 'computer-science', 'cpp', 'interview', 'java', 'leetcode', 'python', 'system-design']",True,True,True,True,True,False,False,False,False,master
bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,2023-09-21T11:18:20Z,https://getbootstrap.com,236221,165352,78906,477,165352,JavaScript,MIT,"['bootstrap', 'css', 'css-framework', 'html', 'javascript', 'sass', 'scss']",True,True,True,False,True,True,False,False,False,main
ohmyzsh,"🙃   A delightful community-driven (with 2,100+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2023-09-21T11:18:36Z,https://ohmyz.sh,10328,162499,25486,599,162499,Shell,MIT,"['cli', 'cli-app', 'hacktoberfest', 'oh-my-zsh', 'oh-my-zsh-plugin', 'oh-my-zsh-theme', 'ohmyzsh', 'plugin-framework', 'plugins', 'productivity', 'shell', 'terminal', 'theme', 'themes', 'zsh', 'zsh-configuration']",True,True,True,True,False,True,False,False,False,master
linux,Linux kernel source tree,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,2023-09-21T10:57:52Z,,4695128,157823,50275,310,157823,C,NOASSERTION,[],False,True,True,False,False,False,False,False,False,master
flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,2023-09-21T11:32:09Z,https://flutter.dev,268622,156818,26002,11792,156818,Dart,BSD-3-Clause,"['android', 'app-framework', 'cross-platform', 'dart', 'dart-platform', 'desktop', 'flutter', 'flutter-package', 'fuchsia', 'ios', 'linux-desktop', 'macos', 'material-design', 'mobile', 'mobile-development', 'skia', 'web', 'web-framework', 'windows']",True,True,True,True,False,False,False,False,False,master
gitignore,A collection of useful .gitignore templates,https://github.com/github/gitignore,2010-11-08T20:17:14Z,2023-09-21T11:19:09Z,,2356,151549,84060,446,151549,,CC0-1.0,"['git', 'gitignore']",False,False,True,False,False,False,False,False,False,main
vscode,Visual Studio Code,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,2023-09-21T11:19:17Z,https://code.visualstudio.com,848347,151340,26962,8045,151340,TypeScript,MIT,"['editor', 'electron', 'microsoft', 'typescript', 'visual-studio-code']",True,True,True,True,False,False,False,False,False,main
awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2023-09-21T11:42:16Z,https://awesome-selfhosted.net/,15866,149363,8279,0,149363,,NOASSERTION,"['awesome', 'awesome-list', 'cloud', 'free-software', 'hosting', 'privacy', 'self-hosted', 'selfhosted']",True,True,True,False,False,False,False,False,False,master
computer-science,:mortar_board: Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,2023-09-21T11:43:43Z,,1224,149292,19075,17,149292,,MIT,"['awesome-list', 'computer-science', 'courses', 'curriculum']",True,True,True,True,False,False,False,False,False,master
Auto-GPT,An experimental open-source attempt to make GPT-4 fully autonomous.,https://github.com/Significant-Gravitas/Auto-GPT,2023-03-16T09:21:07Z,2023-09-21T11:33:50Z,https://agpt.co,69300,149034,32393,207,149034,JavaScript,MIT,"['ai', 'artificial-intelligence', 'autonomous-agents', 'gpt-4', 'openai', 'python']",True,True,True,True,False,True,False,False,False,master
Python-100-Days,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2023-09-21T11:37:48Z,,310266,140142,49865,691,140142,Python,,[],True,True,True,True,False,False,False,False,False,master
the-art-of-command-line,"Master the command line, in one page",https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2023-09-21T11:19:22Z,,2772,139488,13769,222,139488,,,"['bash', 'documentation', 'linux', 'macos', 'unix', 'windows']",True,True,True,False,False,False,False,False,False,master
JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2023-09-21T11:32:14Z,https://javaguide.cn,162806,137294,44828,60,137294,Java,Apache-2.0,"['algorithms', 'interview', 'java', 'jvm', 'mysql', 'redis', 'spring', 'system', 'system-design', 'zookeeper']",True,True,True,True,False,True,False,False,False,main
javascript,JavaScript Style Guide,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,2023-09-21T11:16:30Z,,3619,136485,26053,160,136485,JavaScript,MIT,"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",True,False,True,True,True,False,False,False,False,master
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2023-09-21T11:19:30Z,http://ytdl-org.github.io/youtube-dl/,64708,123522,9329,4332,123522,Python,Unlicense,[],True,True,True,False,True,False,False,False,False,master
fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2023-09-21T11:07:06Z,https://labuladong.github.io/algo/,125919,119573,22792,360,119573,Markdown,,"['algorithms', 'computer-science', 'data-structures', 'dynamic-programming', 'dynamic-programming-algorithm', 'interview-questions', 'kmp', 'leetcode']",True,True,True,True,False,True,False,False,False,master
project-based-learning,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2023-09-21T11:22:32Z,,438,116167,16175,50,116167,,MIT,"['beginner-project', 'cpp', 'golang', 'javascript', 'project', 'python', 'tutorial', 'webdevelopment']",True,True,True,True,False,True,False,False,False,master
